# Summary of experimental CRISPR data annotated with enhancer-gene predictions. Each row represents an element-gene pair tested in a CRISPR experiment. 
#
# Column descriptions:
#
# chrPerturbationTarget, startPerturbationTarget, endPerturbationTarget: hg19 coordinates of the tested element
# chrTSS, starts, endTSS: hg19 coordinates of the tested gene
# GeneSymbol: Tested gene symbol
# CellType: Cell type in which the CRISPR experiment was performed
# IncludeInModel: Boolean indicating whether to include this element-gene pair in evaluation of predictors
# Reason: Reason the element-gene pair is not included in evaluation of predictors
# Reference: Study in which the CRISPR experiment was conducted
# RNAReadoutMethod, PerturbMethod: Experimental methods used to perturb enhancer and read out effects on RNA
# EffectSize: Fraction change in gene expression upon CRISPR perturbation
# Padj: pvalue for non-zero effect size adjusted for multiple hypothesis test correction
# Significant: Boolean indicating if padj is statistically significant
# Regulated: Boolean indicating if the element-gene pair is significant and the effect size is negative (ie gene expression decreases upon perturbation of the enhancer)
# PowerAtEffectSize.0.25: Power to detect 25% changes in gene expression
# Distance: genomic distance between the element-gene pair
# Remaining Columns represent the quantitative score of each of the predictors. See methods for details
#
chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	chrTSS	startTSS	endTSS	GeneSymbol	CellType	IncludeInModel	Reason	Reference	RNAReadoutMethod	PerturbMethod	EffectSize	padj	Significant	Regulated	PowerAtEffectSize.0.25	distance	closestGene.EachGeneIsRegulatedByClosestEnhancer	closestEnhancer.EachEnhRegulatesClosestGene	ABC.ABC.Score	Granja2019.CorrelationCancer	Granja2019.CorrelationHealthy	Granja2019.PvalCancer	Granja2019.PvalHealthy	Sheffield2013.cor	Sheffield2013.pval	Fishilevich2017.GeneHancer.value	ENCODE2012.ENCODE2012.score	Andersson2014.Andersson2014.score	JEME.jeme_score	TargetFinder.TargetFinder_prediction	EnhancerAtlas2.EAGLE_score	Rao2014Loop.Rao2014.Loop	Rao2014TAD.Rao2014.TAD	Roadmap.ConfidenceScore	PCHiC.Javierre.score
chr1	3691278	3691778	chr1	3689324	3689324	SMIM1	K562	TRUE	NA	Ulirsch2016	qPCR	Cas9	-0.472019217	0.000641649	TRUE	TRUE	0.639332272	2204	1	1	0.175227	-1	-1	1	1	-1	1	1550.66	-1	-1	0	0	0	0	0	0	0
chr1	3691278	3691778	chr1	3713068	3713068	LRRC47	K562	TRUE	NA	Ulirsch2016	qPCR	Cas9	-0.331178093	0.007771168	TRUE	TRUE	0.608994236	21540	0	0	0.067592	-1	-1	1	1	-1	1	14.26	-1	-1	0	0	2.705575	0	0	0	0
chr1	3691278	3691778	chr1	3773797	3773797	CEP104	K562	TRUE	NA	Ulirsch2016	qPCR	Cas9	-0.293431866	0.004023984	TRUE	TRUE	0.825093632	82269	0	0	0.029659	0.453329752383206	0.119707907486184	3.70611741253052e-05	0.646346921014922	-1	1	64.56	-1	-1	0	0	1.447315	0	0	0	0
chr1	29210606	29210645	chr1	29213602	29213602	EPB41	K562	TRUE	NA	Wakabayashi2016	qPCR	Cas9	-0.76		TRUE	TRUE	0.948724568	2976.5	1	1	0.271526	-1	-1	1	1	-1	1	1843.68	-1	-1	0	0	0	0	1	0	0
chr1	29211591	29211630	chr1	29213602	29213602	EPB41	K562	TRUE	NA	Wakabayashi2016	qPCR	Cas9	-0.66		TRUE	TRUE	0.999975075	1991.5	1	1	0.271526	-1	-1	1	1	-1	1	1843.68	-1	-1	0	0	0	0	1	0	0
chr1	109060300	109060957	chr1	109102970	109102970	FAM102B	NCCIT	TRUE	NA	Fuentes2018	RNASeq	KRAB-dCas9	-0.44031	4.20322449422e-07	TRUE	TRUE	0.28	42341.5	0	0	0.005003	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	109817590	109817590	chr1	109756514	109756514	SARS	PrimaryHepatocytes	TRUE	NA	Wang2017	qPCR	Cas9	-0.029536446		FALSE	FALSE	1	61076	0	0	0.018549	-1	-1	1	1	0.2464637	0.993	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	109817590	109817590	chr1	109825790	109825790	PSRC1	PrimaryHepatocytes	TRUE	NA	Wang2017	qPCR	Cas9	-0.201249725	0.002	TRUE	TRUE	1	8200	0	0	0.054188	-1	-1	1	1	-1	1	14.8	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	109817590	109817590	chr1	109935979	109935979	SORT1	PrimaryHepatocytes	TRUE	NA	Wang2017	qPCR	Cas9	-0.10613301	0.002	TRUE	TRUE	1	118389	0	0	0.047508	0.417457537903717	0.00850758622460421	5.31925184093796e-05	0.96630061391333	-1	1	21.67	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	109817590	109817590	chr1	109969070	109969070	PSMA5	PrimaryHepatocytes	TRUE	NA	Wang2017	qPCR	Cas9	0		FALSE	FALSE	0.999999995	151480	0	0	0.019124	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	111902451	111903076	chr1	111889181	111889181	PIFO	NCCIT	TRUE	NA	Fuentes2018	RNASeq	KRAB-dCas9	-0.64457	5.1998671688e-12	TRUE	TRUE	0.03	13582.5	0	0	0.00741	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	114601005	114601628	chr1	114696472	114696472	SYT6	NCCIT	TRUE	NA	Fuentes2018	RNASeq	KRAB-dCas9	-0.27788	0.014486401852	TRUE	TRUE	0.29	95155.5	0	0	0	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	159737819	159738587	chr1	160085519	160085519	ATP1A2	NCCIT	TRUE	NA	Fuentes2018	RNASeq	KRAB-dCas9	-0.43578	0.004203798601199999	TRUE	TRUE	0.14	347316	0	0	0	-1	-1	1	1	-1	1	0	0.868738	-1	NA	NA	NA	NA	NA	NA	NA
chr1	206939798	206940298	chr1	206945839	206945839	IL10	BJAB_anti-IgM_anti-CD40_4hr	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.038122	0.363384951737784	FALSE	FALSE	0.999999965457244	5791	0	0	0.057248	-1	-1	1	1	-1	1	0	0.786408	-1	NA	NA	NA	NA	NA	NA	NA
chr1	206945468	206946089	chr1	206945839	206945839	IL10	BJAB	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.67782	8.70199438985751e-27	TRUE	TRUE	0.817756511388327	60.5	0	0	0.058895	-1	-1	1	1	0.5878575	0.998	1327.45	-1	-1	NA	NA	NA	NA	NA	5.479	0
chr1	206945550	206946089	chr1	206945839	206945839	IL10	BJAB_anti-IgM_anti-CD40_4hr	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.783424	3.68374353046007e-158	TRUE	TRUE	0.998854886732673	19.5	0	0	0.056177	-1	-1	1	1	0.5878575	0.998	1327.45	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr1	206966528	206967028	chr1	206945839	206945839	IL10	BJAB_anti-IgM_anti-CD40_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.955355	0	TRUE	TRUE	1	20939	0	0	0.058766	-1	-1	1	1	0.5015489	0.976	1.51	-1	0.175	NA	NA	NA	NA	NA	NA	NA
chr1	206966531	206967031	chr1	206945839	206945839	IL10	BJAB	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.46425	1.60390641574054e-18	TRUE	TRUE	0.9990820361281	20942	0	0	0.020176	-1	-1	1	1	0.5015489	0.976	1.51	-1	0.175	NA	NA	NA	NA	NA	0	0
chr10	5726431	5727167	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0542633	0.792217611316728	FALSE	FALSE	0.946842469550983	377534	0	0	0.011239	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	5855228	5855762	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0942844	0.559257150856221	FALSE	FALSE	0.790116871926967	248838	0	0	0.021565	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	5982355	5982855	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1095758	0.704481147364576	FALSE	FALSE	0.435723696355498	121728	0	0	0	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6092902	6093402	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer) ;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.1743089	0.273708472155716	FALSE	FALSE	0.503813043779653	11181	0	0	0.060734	0.307986125069983	0.377877497147297	0.00291488860194931	0.00289860588478279	0.6472438	0.994	14.18	0.883656	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6094489	6094989	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.6067328	2.72732286594482e-22	TRUE	TRUE	0.986466364170461	9594	0	0	0.054701	0.236152086290504	0.379959249134666	0.0227255166304351	0.00274590227054985	0.6023932	0.989	14.18	0.894957	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6104083	6104713	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.5463638	5.48725921399506e-22	TRUE	TRUE	0.996057224775163	65	0	0	0.078563	-1	-1	1	1	0.7735837	0.998	904.3	0.922161	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6110362	6110862	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0366781	0.857005327379177	FALSE	FALSE	0.515546429306289	6279	0	0	0.016583	-1	-1	1	1	-1	1	13.83	-1	0.173	NA	NA	NA	NA	NA	NA	NA
chr10	6110865	6112168	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1005151	0.792217611316728	FALSE	FALSE	0.290448393091533	7183.5	0	0	0.022938	-1	-1	1	1	0.6163547	0.99	13.83	0.868874	0.281	NA	NA	NA	NA	NA	NA	NA
chr10	6125624	6126124	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.3123261	0.0119943092275583	TRUE	FALSE	0.578169011381068	21541	0	0	0.012066	0.638544527999706	0.353354588163303	5.97395741867432e-10	0.00537984639581576	0.7187047	0.997	19.93	0.723965	0.836	NA	NA	NA	NA	NA	NA	NA
chr10	6130649	6131198	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0992715	0.465651086575298	FALSE	FALSE	0.881646258018832	26590.5	0	0	0.013626	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6178276	6178776	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0357939	0.961775203906507	FALSE	FALSE	0.551479017842119	74193	0	0	0.001231	0.496779387488226	0.250106040568982	1.49046742820089e-06	0.0496853426423322	0.730386	0.998	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6186610	6187110	chr10	6244839	6244839	PFKFB3	Jurkat	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.690179	3.81983787442293e-41	TRUE	TRUE	0.999420127327117	57979	0	0	0.019471	-1	-1	1	1	-1	1	1401.61	0.804797	-1	NA	NA	NA	NA	NA	0	0
chr10	6186617	6187117	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0120235	0.983166885043341	FALSE	FALSE	0.936036691089552	82534	0	0	0.01122	-1	-1	1	1	0.6001637	0.989	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6186666	6187166	chr10	6244839	6244839	PFKFB3	THP1	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.514359	1.31176506104738e-05	TRUE	TRUE	0.423061942611138	57923	0	0	0.042648	-1	-1	1	1	-1	1	1401.61	0.804797	-1	NA	NA	NA	NA	NA	0	0
chr10	6190814	6191314	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0111753	0.983166885043341	FALSE	FALSE	0.0490056009664819	86731	0	0	0.002555	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6205474	6205974	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1140041	0.440415498933021	FALSE	FALSE	0.764857382860188	101391	0	0	0.011219	-1	-1	1	1	-1	1	0	0.798179	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6242856	6243356	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.2458518	0.191937381177027	FALSE	FALSE	0.473205807976536	138773	0	0	0.002853	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6243420	6243920	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0106466	0.917928205449046	FALSE	FALSE	0.773978389012117	139337	0	0	0.002758	0.475678920289157	0.430981519956676	4.07899250826594e-06	0.000672864579453512	-1	1	0	0.941095	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6244554	6245089	chr10	6244839	6244839	PFKFB3	THP1	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer) ;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.208469	0.136540633098672	FALSE	FALSE	0.645653667696825	17.5	0	0	0.127063	0.337010776021265	0.480656905168916	0.00111874071121567	0.000147487248114931	-1	1	1752.19	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	6244558	6245089	chr10	6244839	6244839	PFKFB3	Jurkat	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.323721	2.18759470403988e-11	TRUE	TRUE	0.997920926484113	15.5	0	0	0.097523	0.337010776021265	0.480656905168916	0.00111874071121567	0.000147487248114931	-1	1	1752.19	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	6244581	6245089	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.2027664	0.0612446892425588	FALSE	FALSE	0.821525966410368	140502	0	0	0.006672	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6317158	6317658	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1849531	0.191937381177027	FALSE	FALSE	0.71064505358755	213075	0	0	0.00296	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6389972	6390472	chr10	6244839	6244839	PFKFB3	Jurkat	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.161911	0.0403683731224766	TRUE	TRUE	0.951907195770381	145383	0	0	0.027118	-1	-1	1	1	-1	1	29.28	-1	0.765	NA	NA	NA	NA	NA	0	0
chr10	6389982	6390482	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1207129	0.426928786779183	FALSE	FALSE	0.805589060460736	285899	0	0	0.016792	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6389986	6390486	chr10	6244839	6244839	PFKFB3	THP1	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.168546	0.473006181077292	FALSE	FALSE	0.422050110597787	145397	0	0	0.010766	-1	-1	1	1	-1	1	29.28	-1	0.765	NA	NA	NA	NA	NA	0	0
chr10	6515327	6515827	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.2081549	0.426928786779183	FALSE	FALSE	0.1335017841276	411244	0	0	0.01727	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6515856	6516356	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0414609	0.857005327379177	FALSE	FALSE	0.413823560694919	411773	0	0	0.017829	-1	-1	1	1	-1	1	0	0.724646	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6584940	6585746	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.054244	0.702317421972352	FALSE	FALSE	0.766246183679077	481010	0	0	0.030976	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6605095	6606051	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0264556	0.961775203906507	FALSE	FALSE	0.918618257987277	501240	0	0	0.009031	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6620335	6620835	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.1706651	0.426928786779183	FALSE	FALSE	0.469077316755317	516252	0	0	0.008329	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6621009	6621509	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.1548313	0.426928786779183	FALSE	FALSE	0.275276444239824	516926	0	0	0.006064	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6622013	6622692	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0052711	0.885786020111889	FALSE	FALSE	0.977881010052464	518019.5	0	0	0.010193	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	6969506	6970006	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0295779	0.885786020111889	FALSE	FALSE	0.454534568133123	865423	0	0	0.016351	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	7513828	7514328	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power ;Not cis pair	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.0033659	0.983166885043341	FALSE	FALSE	0.473282485001716	1409745	0	0	0.00029	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	7526396	7526896	chr10	6104333	6104333	IL2RA	Jurkat_anti-CD3_PMA_4hr	FALSE	;Not Significant and Insufficient Power ;Not cis pair	ThisStudy	FlowFISH Screen	KRAB-dCas9	0.2208526	0.426928786779183	FALSE	FALSE	0.35364635385599	1422313	0	0	0.000926	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	30722685	30723199	chr10	6244839	6244839	PFKFB3	Jurkat	FALSE	;Not cis pair	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.056908	0.472398962355559	FALSE	FALSE	0.998523329401391	24478103	0	0	0	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	30722694	30723633	chr10	6244839	6244839	PFKFB3	THP1	FALSE	;Not cis pair	ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.015654	0.813133610988707	FALSE	FALSE	0.929778122787832	24478324.5	0	0	0	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	80697270	80697770	chr10	81107219	81107219	PPIF	THP1_LPS_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0248064	0.368775614269754	FALSE	FALSE	1	409699	0	0	0.001322	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	80697308	80697808	chr10	81107219	81107219	PPIF	THP1	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.015191	0.807218774036694	FALSE	FALSE	1	409661	0	0	0.002149	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	80697363	80697863	chr10	81107219	81107219	PPIF	Jurkat	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	0.01214189	0.962326717494333	FALSE	FALSE	1	409606	0	0	0.000373	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	80697384	80697884	chr10	81107219	81107219	PPIF	Jurkat_anti-CD3_PMA_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0545405	0.8114804669619	FALSE	FALSE	0.997375965692711	409585	0	0	0.000733	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	80697451	80697951	chr10	81107219	81107219	PPIF	BJAB_anti-IgM_anti-CD40_4hr	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.0193659	0.880955683080366	FALSE	FALSE	1	409518	0	0	0.00058	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	NA	NA
chr10	80697463	80697963	chr10	81107219	81107219	PPIF	BJAB	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.01483296	0.842292388268395	FALSE	FALSE	1	409506	0	0	0.000547	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
chr10	80708321	80708821	chr10	81107219	81107219	PPIF	BJAB	TRUE		ThisStudy	FlowFISH Screen	KRAB-dCas9	-0.01956391	0.705950694908373	FALSE	FALSE	1	398648	0	0	0.000643	-1	-1	1	1	-1	1	0	-1	-1	NA	NA	NA	NA	NA	0	0
